Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1903,-.37,-.39,-.36,-.48,-.28,-.38,-.32,-.43,-.56,-.24,-.32,-.35,-.40,-.49
1904,-.47,-.49,-.45,-.52,-.46,-.44,-.21,-.61,-.55,-.44,-.48,-.37,-.49,-1.31
1905,-.26,-.30,-.22,-.42,-.08,-.35,-.10,-.24,-.62,-.13,-.04,-.32,-.37,-.33
1906,-.22,-.24,-.20,-.26,-.19,-.23,-.31,-.07,-.39,-.21,-.16,-.20,-.22,-.71
1907,-.39,-.48,-.29,-.60,-.30,-.29,-.62,-.73,-.51,-.31,-.30,-.21,-.37,-1.19
1908,-.43,-.46,-.40,-.49,-.44,-.36,-.28,-.55,-.51,-.42,-.45,-.29,-.48,.68
1909,-.48,-.50,-.47,-.54,-.47,-.44,-.79,-.63,-.43,-.44,-.51,-.37,-.52,-.56
1910,-.44,-.45,-.42,-.42,-.49,-.38,-.61,-.25,-.49,-.49,-.48,-.33,-.45,.17
1911,-.44,-.43,-.45,-.43,-.42,-.48,-.32,-.42,-.47,-.42,-.41,-.44,-.52,.06
1912,-.36,-.46,-.24,-.60,-.18,-.37,-.53,-.79,-.49,-.27,-.08,-.36,-.29,-1.63
1913,-.34,-.43,-.26,-.44,-.27,-.35,-.52,-.34,-.50,-.40,-.14,-.28,-.40,-1.03
1914,-.15,-.19,-.10,-.25,-.06,-.18,-.40,-.17,-.27,-.11,.00,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.24,-.01,-.22,-.63,-.17,-.18,-.01,-.01,-.15,-.23,-1.97
1916,-.36,-.42,-.30,-.38,-.45,-.23,-.52,-.55,-.24,-.50,-.39,-.23,-.17,-1.04
1917,-.46,-.58,-.36,-.51,-.63,-.19,-.87,-.51,-.42,-.69,-.57,-.23,-.09,.07
1918,-.30,-.40,-.20,-.41,-.33,-.14,-1.06,-.28,-.34,-.39,-.28,-.06,-.22,-.27
1919,-.28,-.36,-.20,-.44,-.20,-.22,-.74,-.57,-.30,-.23,-.17,-.14,-.32,.20
1920,-.28,-.31,-.24,-.26,-.26,-.32,-.05,-.21,-.34,-.39,-.13,-.19,-.48,-1.14
1921,-.19,-.12,-.26,.01,-.26,-.31,-.05,.16,-.08,-.30,-.21,-.23,-.38,-.83
1922,-.29,-.28,-.29,-.25,-.32,-.27,-.36,-.41,-.13,-.33,-.32,-.24,-.28,-.27
1923,-.27,-.22,-.31,-.16,-.30,-.33,.12,-.16,-.25,-.32,-.28,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.14,-.26,-.43,.41,-.26,-.22,-.27,-.25,-.39,-.45,-.52
1925,-.22,-.14,-.30,-.05,-.24,-.37,-.12,.17,-.17,-.28,-.20,-.24,-.55,-.85
1926,-.11,.01,-.22,.02,.01,-.40,.54,.16,-.21,.00,.02,-.35,-.45,-.63
1927,-.22,-.14,-.30,-.13,-.16,-.38,-.01,-.22,-.12,-.15,-.18,-.30,-.45,-1.37
1928,-.20,-.10,-.29,-.07,-.16,-.39,.69,-.17,-.22,-.16,-.16,-.28,-.48,-2.11
1929,-.36,-.34,-.38,-.38,-.28,-.45,.12,-.62,-.37,-.28,-.29,-.42,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.11,-.42,.52,.04,-.10,-.10,-.12,-.33,-.46,-2.59
1931,-.09,.05,-.21,.01,.08,-.42,.55,-.04,-.14,.10,.05,-.42,-.40,-.40
1932,-.16,-.06,-.25,.04,-.16,-.35,.47,.19,-.20,-.19,-.14,-.20,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.17,-.47,-.11,-.28,-.28,-.21,-.48,-1.14
1934,-.13,.00,-.25,.17,-.25,-.26,.87,.30,-.12,-.26,-.24,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.04,-.18,-.38,.34,-.05,-.15,-.16,-.20,-.30,-.42,-1.71
1936,-.15,-.03,-.26,-.02,-.13,-.30,.39,.10,-.25,-.05,-.21,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.05,-.22,1.23,.03,-.02,.01,-.11,-.19,-.26,.37
1938,.00,.16,-.18,.39,-.22,-.10,1.50,.38,.04,-.17,-.28,-.06,-.11,-.86
1939,-.02,.09,-.13,.23,-.12,-.12,.56,.28,.09,-.11,-.13,-.04,-.19,-1.60
1940,.13,.18,.09,.11,.28,-.07,.99,-.03,-.09,.27,.30,.03,-.20,-.05
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.09,.55,.44,.04,-.15,-.46
1942,.07,.13,.00,.13,.08,-.01,.73,-.07,.07,.12,.03,.05,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.41,.28,.11,-.11,-.07,.07,.00,1.14
1944,.20,.27,.15,.38,.19,.05,1.18,.46,.10,.11,.27,.19,-.10,-.93
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.10,.24,.03,.00,-1.77
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.07,-.22,-.24,-.16
1947,-.03,.08,-.13,.16,-.06,-.16,1.07,-.14,.05,-.03,-.09,-.19,-.08,-.20
1948,-.11,-.02,-.20,.13,-.19,-.24,.11,.31,.01,-.23,-.14,-.19,-.19,-1.36
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.16,.05,-.23,-.15,-.18,-.15,-1.96
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,-.01,-.12,-.22,-.16,-.69
1952,.01,.06,-.04,.11,.02,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.50
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.01,-.14,-.29,-.18,-.20,-.80
1955,-.14,-.09,-.20,.05,-.34,-.06,-.25,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.17,.14,.12,.26,.15,-.09,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.08,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.05,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.23,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.15,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.07,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.20,-.34,.17,.14,-.36,-.47,-.25,.07,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.01,.08,.29,.22,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.22,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.30,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.12,-.10,.11,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.22,.31,.28
1978,.07,.02,.11,-.03,.08,.16,-.15,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.07,.09,.26,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.15,.29,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.19,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.01,.18,.26,.36,.08,-.14,.07,.30,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.26,-.02,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.23,.19,.01,.28,.03,.18,.28,.25,.25,-.12
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.24,.32,.43,.38,.20,.87
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.07,.19,.36,.30,.31
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.37,.37,.37,.37
1991,.41,.41,.40,.47,.37,.39,.75,.66,.26,.32,.41,.31,.29,.95
1992,.22,.14,.31,.10,.28,.26,-.17,.44,-.03,.20,.37,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.36,.27,.39,-.29
1994,.32,.37,.26,.43,.31,.20,.34,.50,.42,.28,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.32,.41,.45,.29,.15,.14
1996,.33,.27,.39,.23,.32,.43,.77,.17,.10,.31,.33,.33,.28,1.19
1997,.46,.52,.41,.53,.51,.33,.76,.90,.23,.50,.53,.42,.36,-.02
1998,.61,.71,.52,.78,.70,.33,.86,.94,.66,.60,.79,.39,.31,.14
1999,.38,.48,.28,.70,.21,.31,.40,.80,.74,.16,.25,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.97,.80,.55,.21,.28,.42,.10,.27
2001,.54,.64,.44,.80,.42,.43,1.06,.86,.68,.40,.44,.58,.24,.31
2002,.63,.71,.54,.83,.59,.48,1.25,1.00,.58,.55,.64,.50,.32,.78
2003,.62,.75,.50,.84,.64,.37,1.49,.98,.54,.62,.66,.44,.24,.42
2004,.54,.66,.42,.73,.55,.33,.46,.96,.66,.57,.54,.48,.23,.02
2005,.68,.86,.50,1.02,.62,.42,1.98,1.23,.57,.62,.62,.49,.18,.69
2006,.64,.82,.46,.99,.56,.40,1.73,1.06,.70,.57,.54,.51,.19,.46
2007,.67,.85,.47,1.13,.46,.47,2.11,1.32,.69,.45,.47,.50,.07,1.24
2008,.54,.68,.40,.92,.37,.40,1.54,1.08,.62,.34,.41,.53,.09,.62
2009,.66,.73,.59,.78,.68,.52,1.41,.60,.68,.65,.70,.60,.15,1.00
2010,.72,.90,.55,1.02,.68,.48,2.22,.87,.74,.72,.65,.63,.20,.51
2011,.61,.75,.47,.99,.37,.55,2.35,.94,.58,.39,.35,.64,.18,1.07
2012,.65,.82,.48,1.04,.52,.41,2.21,.93,.74,.48,.57,.56,.19,.36
2013,.68,.80,.55,.95,.58,.54,1.54,1.05,.69,.58,.57,.63,.22,.89
2014,.75,.92,.57,1.08,.67,.52,2.04,1.14,.73,.69,.64,.72,.18,.54
2015,.90,1.18,.62,1.32,.96,.40,1.99,1.48,1.00,.98,.93,.75,.18,-.34
2016,1.02,1.31,.73,1.55,1.01,.49,3.24,1.44,1.08,.96,1.06,.67,.26,.37
2017,.92,1.18,.66,1.39,.81,.59,2.52,1.38,1.05,.87,.76,.76,.35,.52
2018,.85,1.04,.66,1.25,.67,.68,2.14,1.09,1.06,.73,.61,.80,.37,.93
2019,.98,1.22,.74,1.42,.90,.65,2.70,1.44,1.00,.92,.88,.75,.39,.82
2020,1.02,1.36,.68,1.68,.86,.57,2.90,1.82,1.20,.90,.83,.58,.39,.89
